datestamp,centre_name,purchasing_power_quantile,estimated_actual_footfall,estimated_actual_footfall_rolling,indexed_signal,indexed_signal_rolling,source
2019-06-22,Met Office - Bradford,0,750651,699891,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-23,Met Office - Bradford,0,764451,679123,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-24,Met Office - Bradford,0,679100,687783,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-25,Met Office - Bradford,0,753815,696266,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-26,Met Office - Bradford,0,725775,706903,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-27,Met Office - Bradford,0,831614,702668,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-28,Met Office - Bradford,0,816056,757987,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-29,Met Office - Bradford,0,795731,726944,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-30,Met Office - Bradford,0,761008,719046,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-01,Met Office - Bradford,0,787991,706374,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-02,Met Office - Bradford,0,704951,700759,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-03,Met Office - Bradford,0,656982,709758,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-04,Met Office - Bradford,0,753399,709863,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-05,Met Office - Bradford,0,708598,737494,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-06,Met Office - Bradford,0,808617,724442,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-07,Met Office - Bradford,0,719864,723503,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-08,Met Office - Bradford,0,748446,703270,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-09,Met Office - Bradford,0,732280,707809,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-10,Met Office - Bradford,0,786291,711859,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-07-11,Met Office - Bradford,0,807255,726765,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
