,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
15630,2022-12-19,26745.115,2022,12,0,51,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,10.218751,1.5000001,33.16692,26695.424,Bradford - Lister Park,0,0,1,0,0
15631,2022-12-19,645927.0,2022,12,0,51,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,10.81825,2.3,37.600616,26695.424,Bradford - Local Authority,0,0,0,1,0
15632,2022-12-19,2017.935,2022,12,0,51,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,10.218751,1.5000001,33.16692,26695.424,Bradford - Roberts Park,0,0,0,0,1
15638,2022-12-20,97055.385,2022,12,1,51,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,7.1645846,1.6000001,21.638964,26680.676,Bradford - BID,1,0,0,0,0
15639,2022-12-20,76211.01,2022,12,1,51,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,7.1645846,1.6000001,21.638964,26680.676,Bradford - City Centre,0,1,0,0,0
15640,2022-12-20,3150.98,2022,12,1,51,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,7.1645846,1.6000001,21.638964,26680.676,Bradford - Lister Park,0,0,1,0,0
15641,2022-12-20,716737.0,2022,12,1,51,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,7.1557503,1.1,26.925497,26680.676,Bradford - Local Authority,0,0,0,1,0
15642,2022-12-20,18341.81,2022,12,1,51,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,7.1645846,1.6000001,21.638964,26680.676,Bradford - Roberts Park,0,0,0,0,1
15649,2022-12-21,65777.45999999999,2022,12,2,51,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.4403941515576342,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.5000005,1.3000001,30.421598,26673.008,Bradford - BID,1,0,0,0,0
15650,2022-12-21,122663.72,2022,12,2,51,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.4403941515576342,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.5000005,1.3000001,30.421598,26673.008,Bradford - City Centre,0,1,0,0,0
15651,2022-12-21,25178.55,2022,12,2,51,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.4403941515576342,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.5000005,1.3000001,30.421598,26673.008,Bradford - Lister Park,0,0,1,0,0
15652,2022-12-21,748185.0,2022,12,2,51,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.4403941515576342,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.4203324,1.8000001,28.766228,26673.008,Bradford - Local Authority,0,0,0,1,0
15653,2022-12-21,4085.5,2022,12,2,51,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.4403941515576342,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.5000005,1.3000001,30.421598,26673.008,Bradford - Roberts Park,0,0,0,0,1
15660,2022-12-22,85161.465,2022,12,3,51,1.2246467991473532e-16,-1.0,-0.968077118866204,-0.2506525322587213,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,4.514583,1.7000002,14.264361,26672.465,Bradford - BID,1,0,0,0,0
15661,2022-12-22,66771.28,2022,12,3,51,1.2246467991473532e-16,-1.0,-0.968077118866204,-0.2506525322587213,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,4.514583,1.7000002,14.264361,26672.465,Bradford - City Centre,0,1,0,0,0
