area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,daily,19/05/2019,24849.45,24849.45,3080.164631667546,3080.164631667546,21769.285368332457,21769.285368332457,,
BD WALL - Wayfinders,daily,20/05/2019,25372.88,25372.88,6282.818069424281,6282.818069424281,19090.06193057572,19090.06193057572,,
BD WALL - Wayfinders,weekly,20/05/2019,185201.87,26457.41,39679.004999146404,5668.429285592343,145522.8650008536,20788.98071440766,,
BD WALL - Wayfinders,daily,21/05/2019,45028.91,45028.91,11150.033003525012,11150.033003525012,33878.87699647499,33878.87699647499,,
BD WALL - Wayfinders,daily,22/05/2019,22664.8,22664.8,5612.244844885067,5612.244844885067,17052.555155114933,17052.555155114933,,
BD WALL - Wayfinders,daily,23/05/2019,20781.9,20781.9,5146.002221149844,5146.002221149844,15635.897778850156,15635.897778850156,,
BD WALL - Wayfinders,daily,24/05/2019,17536.27,17536.27,4342.321172302984,4342.321172302984,13193.948827697017,13193.948827697017,,
BD WALL - Wayfinders,daily,25/05/2019,22295.22,22295.22,2763.560082788428,2763.560082788428,19531.659917211575,19531.659917211575,,
BD WALL - Wayfinders,daily,26/05/2019,7014.51,7014.51,869.4697713823975,869.4697713823975,6145.040228617603,6145.040228617603,,
BD WALL - Wayfinders,daily,27/05/2019,15914.22,15914.22,3940.6700767430925,3940.6700767430925,11973.549923256907,11973.549923256907,,
BD WALL - Wayfinders,weekly,27/05/2019,173596.84,24799.55,37192.658379723805,5313.237217,136404.1816202762,19486.312782543282,,
BD WALL - Wayfinders,daily,28/05/2019,17993.49,17993.49,4455.537727841897,4455.537727841897,13537.952272158105,13537.952272158105,,
BD WALL - Wayfinders,daily,29/05/2019,23335.76,23335.76,5778.387577277327,5778.387577277327,17557.37242272267,17557.37242272267,,
BD WALL - Wayfinders,daily,30/05/2019,31410.2,31410.2,7777.775803307727,7777.775803307727,23632.424196692275,23632.424196692275,,
BD WALL - Wayfinders,daily,31/05/2019,14468.96,14468.96,3582.795620117903,3582.795620117903,10886.164379882097,10886.164379882097,,
BD WALL - Wayfinders,daily,01/06/2019,12272.48,12272.48,1521.2110867181093,1521.2110867181093,10751.26891328189,10751.26891328189,,
BD WALL - Wayfinders,monthly,01/06/2019,744894.98,24829.83,159591.75593237294,5319.724626419568,585303.2240676271,19510.105373580434,,
BD WALL - Wayfinders,daily,02/06/2019,11614.53,11614.53,1439.6561903559902,1439.6561903559902,10174.87380964401,10174.87380964401,,
BD WALL - Wayfinders,daily,03/06/2019,20218.85,20218.85,5006.580101390899,5006.580101390899,15212.2699,15212.2699,,
BD WALL - Wayfinders,weekly,03/06/2019,163208.43,23315.49,34966.96933930978,4995.281334187112,128241.46066069022,18320.20866581289,,
BD WALL - Wayfinders,daily,04/06/2019,8768.14,8768.14,2171.1618242486393,2171.1618242486393,6596.978176,6596.978176,,
BD WALL - Wayfinders,daily,05/06/2019,10020.73,10020.73,2481.327445,2481.327445,7539.402555,7539.402555,,
BD WALL - Wayfinders,daily,06/06/2019,17283.23,17283.23,4279.663551871755,4279.663551871755,13003.566448128244,13003.566448128244,,
BD WALL - Wayfinders,daily,07/06/2019,15749.7,15749.7,3899.931728207898,3899.931728207898,11849.768271792103,11849.768271792103,,
