area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,daily,10/07/2019,6413.56,6413.56,4122.718995,4122.718995,2290.841005,2290.841005,
Baildon,daily,11/07/2019,17125.98,17125.98,11008.80058,11008.80058,6117.179418,6117.179418,
Baildon,daily,12/07/2019,20474.6,20474.6,13161.33666,13161.33666,7313.263341,7313.263341,
Baildon,daily,13/07/2019,13973.47,13973.47,8982.32654,8982.32654,4991.14346,4991.14346,
Baildon,daily,14/07/2019,9249.54,9249.54,8087.70043,8087.70043,1161.83957,1161.83957,
Baildon,daily,15/07/2019,16908.85,16908.85,14784.92048,14784.92048,2123.929517,2123.929517,
Baildon,daily,15/07/2019,15494.93,15494.93,9960.340629,9960.340629,5534.589371,5534.589371,
Baildon,daily,16/07/2019,12583.33,12583.33,8088.726638,8088.726638,4494.603362,4494.603362,
Baildon,daily,17/07/2019,4944.91,4944.91,3178.651854,3178.651854,1766.258146,1766.258146,
Baildon,daily,18/07/2019,12024.07,12024.07,7729.227105,7729.227105,4294.842895,4294.842895,
Baildon,daily,19/07/2019,12583.33,12583.33,8088.726638,8088.726638,4494.603362,4494.603362,
Baildon,daily,20/07/2019,12332.72,12332.72,10783.60057,10783.60057,1549.119427,1549.119427,
Baildon,daily,21/07/2019,15459.52,15459.52,13517.64158,13517.64158,1941.878415,1941.878415,
Baildon,daily,22/07/2019,10554.79,10554.79,6784.754992,6784.754992,3770.035008,3770.035008,
Baildon,daily,22/07/2019,7450.11,7450.11,4789.02669,4789.02669,2661.08331,2661.08331,
Baildon,daily,23/07/2019,5713.49,5713.49,3672.70498,3672.70498,2040.78502,2040.78502,
Baildon,daily,24/07/2019,13087.41,13087.41,8412.755756,8412.755756,4674.654244,4674.654244,
Baildon,daily,25/07/2019,8125.69,8125.69,5223.298217,5223.298217,2902.391783,2902.391783,
Baildon,daily,26/07/2019,25166.67,25166.67,22005.47138,22005.47138,3161.198618,3161.198618,
